model,log,alg,time
g-25-20-20-10-25--20-20-20--50--25--10,log,astar,34712
g-25-20-20-10-25--20-20-20--50--25--11,log,astar,47817
g-25-20-20-10-25--20-20-20--50--25--12,log,astar,2160
g-25-20-20-10-25--20-20-20--50--25--13,log,astar,60000
g-25-20-20-10-25--20-20-20--50--25--14,log,astar,1712
g-25-20-20-10-25--20-20-20--50--25--15,log,astar,155
g-25-20-20-10-25--20-20-20--50--25--16,log,astar,60000
g-25-20-20-10-25--20-20-20--50--25--17,log,astar,17
g-25-20-20-10-25--20-20-20--50--25--18,log,astar,111
g-25-20-20-10-25--20-20-20--50--25--19,log,astar,11028
g-25-20-20-10-25--20-20-20--50--25--2,log,astar,15036
g-25-20-20-10-25--20-20-20--50--25--20,log,astar,12
g-25-20-20-10-25--20-20-20--50--25--21,log,astar,31869
g-25-20-20-10-25--20-20-20--50--25--22,log,astar,7634
g-25-20-20-10-25--20-20-20--50--25--23,log,astar,29
g-25-20-20-10-25--20-20-20--50--25--24,log,astar,1686
g-25-20-20-10-25--20-20-20--50--25--25,log,astar,566
g-25-20-20-10-25--20-20-20--50--25--26,log,astar,29
g-25-20-20-10-25--20-20-20--50--25--27,log,astar,60000
g-25-20-20-10-25--20-20-20--50--25--28,log,astar,11
g-25-20-20-10-25--20-20-20--50--25--29,log,astar,25
g-25-20-20-10-25--20-20-20--50--25--3,log,astar,276
g-25-20-20-10-25--20-20-20--50--25--30,log,astar,857
g-25-20-20-10-25--20-20-20--50--25--4,log,astar,44434
g-25-20-20-10-25--20-20-20--50--25--5,log,astar,206
g-25-20-20-10-25--20-20-20--50--25--6,log,astar,27
g-25-20-20-10-25--20-20-20--50--25--7,log,astar,2915
g-25-20-20-10-25--20-20-20--50--25--8,log,astar,32
g-25-20-20-10-25--20-20-20--50--25--9,log,astar,26657
g-25-20-20-10-25--20-20-20--50--50--1,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--10,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--11,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--12,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--13,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--14,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--15,log,astar,303
g-25-20-20-10-25--20-20-20--50--50--16,log,astar,106
g-25-20-20-10-25--20-20-20--50--50--17,log,astar,31
g-25-20-20-10-25--20-20-20--50--50--18,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--19,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--2,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--20,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--21,log,astar,34
g-25-20-20-10-25--20-20-20--50--50--22,log,astar,64
g-25-20-20-10-25--20-20-20--50--50--23,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--24,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--25,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--26,log,astar,51015
g-25-20-20-10-25--20-20-20--50--50--27,log,astar,196
g-25-20-20-10-25--20-20-20--50--50--28,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--29,log,astar,23
g-25-20-20-10-25--20-20-20--50--50--3,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--30,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--4,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--5,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--6,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--7,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--8,log,astar,60000
g-25-20-20-10-25--20-20-20--50--50--9,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--1,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--10,log,astar,71
g-25-20-20-10-25--20-20-20--50--75--11,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--12,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--13,log,astar,13347
g-25-20-20-10-25--20-20-20--50--75--14,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--15,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--16,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--17,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--18,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--19,log,astar,41
g-25-20-20-10-25--20-20-20--50--75--2,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--20,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--21,log,astar,7144
g-25-20-20-10-25--20-20-20--50--75--22,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--23,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--24,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--25,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--26,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--27,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--28,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--29,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--3,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--30,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--4,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--5,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--6,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--7,log,astar,69
g-25-20-20-10-25--20-20-20--50--75--8,log,astar,60000
g-25-20-20-10-25--20-20-20--50--75--9,log,astar,60000
g-25-20-20-10-25--20-20-20--70--25--1,log,astar,1373
g-25-20-20-10-25--20-20-20--70--25--10,log,astar,81
g-25-20-20-10-25--20-20-20--70--25--11,log,astar,1131
g-25-20-20-10-25--20-20-20--70--25--12,log,astar,995
g-25-20-20-10-25--20-20-20--70--25--13,log,astar,1904
g-25-20-20-10-25--20-20-20--70--25--14,log,astar,14075
g-25-20-20-10-25--20-20-20--70--25--15,log,astar,11626
g-25-20-20-10-25--20-20-20--70--25--16,log,astar,4239
